cleaned_summary,Sentiment
software engineering intern,Neutral
comfortable boring,Negative
transaction risk analyst review,Neutral
software development engineer,Neutral
great place work,Positive
still still fun making history sometimes working hard,Neutral
lovehate relationship disclaimer,Negative
policy,Neutral
good worklife balance,Positive
underlings get nothing thats noticeable,Neutral
customer support cork ireland,Neutral
great company make difference,Positive
amazing oppotunities,Positive
great company start career,Positive
great company,Positive
great flexible company amazing benefits,Positive
massive startup,Neutral
ware teamorggroup join,Neutral
good people working cool problems,Positive
great company hamstrung internal politics,Positive
apple awesome,Positive
incredible company,Positive
amazing overall concept horrible individuals senior roles,Negative
time leave ship,Neutral
false promises leadership lacks integrity,Negative
honest review,Positive
great place work great company end,Positive
great career boost unsure longterm,Positive
good experience,Positive
love working amazon,Positive
highly dependent team manager,Positive
crazy pace great experience failure common,Positive
surprisingly great place work remember follow rules,Positive
meet customer need,Neutral
associate program manager,Neutral
safe comfortable,Positive
cutting edge work great caring company,Positive
working brand name,Neutral
working years ms,Neutral
noxious company culture,Neutral
company drive excellence lacks proper means excel,Neutral
good people interesting work global impact,Positive
great company starting become,Positive
rewarding also concerned future company,Positive
good stuff great bad worrying,Positive
missed opprotunities,Neutral
huge impact industry,Positive
good place learn kickstart career,Positive
microsoft ukraine couldnt put better,Positive
dehumanizing,Neutral
microsoft company review,Neutral
great place work compensation needs improvement,Positive
process actually makes sense,Neutral
good company different groups range great nightmarish,Positive
stereotypes true,Positive
great company,Positive
applecare advisor,Neutral
continuous learning challenge lessthanpleasant environment,Neutral
program manager,Neutral
combination good bad,Neutral
senior software eng,Neutral
guns heads,Neutral
best times worst times,Negative
smart capable engineers inexperienced managers,Neutral
great place learn grow hard drive change,Positive
culture fear political,Neutral
recruiter,Neutral
beware toxic culture,Negative
politics gender bias taint potential great company,Positive
great peers great management,Positive
retail finest mild exceptions,Positive
great place work,Positive
technical specialist,Neutral
genius,Neutral
great products tough make impact,Positive
excellent company work,Positive
associate contracts manager,Neutral
depends local management,Neutral
place like,Positive
principal account executive,Neutral
challenging work environment reporting manager pressure,Positive
open fast moving,Neutral
positive motivating organization stability opportunity,Positive
learnt lot overal great experience,Positive
challenging,Positive
microsoft company,Neutral
great place work atworries future direction growth,Positive
hasbeen heading direction ibm,Neutral
smart people strong focus longterm customer limited attention paid employee satisfaction,Positive
really happy,Positive
area manager,Neutral
awesome perks chance work best brightest,Positive
amazing youre engineer great youre anything,Positive
apple retail yes business team,Neutral
apple retail yes business team,Neutral
big company made many smaller culturescompanies,Positive
great place work,Positive
nice place visit wouldnt want live,Positive
proud work,Positive
microsoft undergoing transformation,Neutral
great company difficult impact,Positive
absolutely incredible place work,Positive
amazing amazon business comes hand hand software,Positive
senior product marketing manager,Neutral
super cool company work,Positive
great company,Positive
employees treated like customers,Positive
need suck management,Neutral
great name resume prepare lose life,Positive
data center,Neutral
great company university recruiting team horrible,Negative
great place work,Positive
great fastpaced environment,Positive
one best companies software engineers ever,Positive
dog eat dog,Neutral
microsoft idc great colleagues work limited opportunity,Positive
twisted culture bright awkward colleagues,Neutral
many years ago great place work poor leadership exceedingly political culture ruined,Positive
could asked,Neutral
bad work environment dont expect life,Negative
great place work learn easy,Positive
amazon transportation department india,Neutral
stay away,Neutral
great place learn move,Positive
operations,Neutral
good corporation overall locally rep office badly managed,Neutral
good place start career bad place normal working life,Neutral
respectful workplace impactful work great benefits,Positive
two year review take ownership time balance,Neutral
two year review take ownership time balance,Neutral
best place software engineer,Positive
great company new grads,Positive
awsome place work,Neutral
seasonal sorting associate dla,Neutral
latest ms technologies experience,Positive
lead engineer ams,Neutral
decent place hottest thing town,Positive
mixed reviews benefits great last,Positive
harassed job,Neutral
great friends reliable fun,Positive
aws history made dont come perks though,Neutral
great afar dysfunctional within,Positive
lost way,Neutral
past prime,Negative
great place great people great culture,Positive
world leader employer peculiarities,Neutral
great place learn churn n burn culture finance,Positive
account executive,Neutral
go somewhere else,Neutral
horrible avoid unknown businesses like amazon tickets,Negative
great working enviroment,Positive
good competitive people prefer teamoriented work environments,Positive
good big company,Positive
longterm googler,Neutral
job,Neutral
software engineer,Neutral
interesting,Positive
interesting,Positive
great company work resistant creativity change,Positive
best job ever,Positive
awesome company,Positive
one greatest retail experiences anyone ask,Positive
amazon month perspective,Neutral
great place,Positive
still innovative company ever,Positive
gtech ads googles structured teams,Neutral
great work good pay tough environment,Positive
good people,Positive
apple long time,Neutral
exciting products hard sometimes frustrating work,Neutral
great place work,Positive
great company,Positive
apple retail store creative,Positive
depends team,Neutral
fun gone operation burden keeps coming,Positive
great company work life balance challenge,Positive
great company work,Positive
software development engineer,Neutral
great company college hires,Positive
disorganized malfunctioning good like corporate games,Positive
good bad,Neutral
really depends team,Positive
fast job great benefits hard live nearby political,Positive
apple retail fooled slightly higher pay average retail jobs,Neutral
helpdesk specialist,Neutral
athome advisor review,Neutral
area manager review,Neutral
great experience working amazing company,Positive
process process process evolution,Neutral
many promises opportunities time veil comes realize youre another cog wheel,Positive
horrible dont let astroturf amazon people tell different,Negative
microsoft global delivery sharepoint practice worst place,Negative
dont quit job go work,Neutral
nightmare south lake union,Neutral
easy work large company,Positive
part timeseasonal,Neutral
great place work,Positive
great marketing opportunities top benefits,Positive
best place work,Positive
political savvy must,Neutral
im trying recruit love job,Positive
good stability,Positive
best retail job get,Positive
awesome company,Positive
lack openness,Neutral
spectrum management crap super stars,Negative
prestigious worth,Positive
great place learn life,Positive
great company great prospects make sure category fits interests career aspirations,Positive
hypocrisy best,Positive
job security unable see light end tunnel,Neutral
fast paced company high expectations incredibly fair wont place cares people,Positive
apple retail retail set expectations accordingly,Neutral
bad middle managers whats giving amazon bad reputation,Negative
company lost way trying recover,Neutral
great company values slowly losing culture,Positive
advance unhelpful tripping peers,Neutral
best workplace really want get things done,Positive
whether like working definitely depends location work,Positive
product manager,Neutral
specialist,Neutral
great place experience hungry candidates horrific place experienced people years experience,Positive
much pressure one worst positions amazon,Negative
wonderful place,Positive
make,Neutral
program manager,Neutral
pay good fte worklife balance terrible depending team,Negative
awesome,Positive
microsoft gtsc good college graduates looking learn bad experienced people development opportunities,Positive
struggling sanity,Neutral
great company work still flaws lower morale,Positive
stimulating work environment becoming bureaucratic,Positive
still one best companies work,Positive
customer care representative,Neutral
hr business partner,Neutral
disappointment,Negative
great place grow,Positive
great company slow,Positive
internal transfer reorg,Neutral
depends group,Neutral
products used millions great pay solid benefits need ok small cog huge machine,Positive
fast paced challenging environment,Positive
much slower bureaucratic expected,Neutral
prepare workaholic,Neutral
workforce analyst,Neutral
absolutely best experience could hope amazing team,Positive
,Neutral
expected,Neutral
ios scale apps counting,Neutral
manager,Neutral
best company ever worked,Positive
high pressure call centre,Positive
huge company large opportunities,Positive
workplace family full mad love,Positive
amazing worklife balance inspiring technology innovation,Positive
great place work,Positive
amazing place work,Positive
software engineer,Neutral
lifetime opportunity create solutions problems scale many companies even touch,Positive
great place work love technology,Positive
great place work,Positive
chaosand fishy goal setting caveat emptor,Neutral
interesting work,Positive
great place start career move faster elsewhere,Positive
empowered success,Positive
best corporate experience,Positive
working apple,Neutral
theres good badjust like anywhere else,Positive
best place work best place size,Positive
cog wheel machine believes impact everyone touches technology,Neutral
great company,Positive
worth stress,Negative
team fact manager makes difference perceive microsoft,Neutral
athome advisor apple korea,Neutral
tech company changing world choose role carefully,Neutral
applecare senior advisor,Neutral
de belles opportunits de carrire mais une gestion des rh dplorable,Neutral
great place work,Positive
good place short time,Positive
mediocre middle mgmt scared right thing company,Neutral
ehh okay,Positive
way progress play politics mba,Neutral
software eng,Neutral
good place start,Positive
software engineer test,Neutral
microsoft corporation,Neutral
great place work large company agility,Positive
great place start career good name resume,Positive
great culture benefits come great responsibilities bureaucracy,Positive
amazing company come across,Positive
still amazing place work,Positive
network development engineer,Neutral
perks advertised youre giant company,Neutral
awesome place work smart people amazing technology great projects,Positive
difficult get promoted,Negative
great fulltime employees horrible place contractors,Negative
account manager,Neutral
lean comfortable environment get stuff done change world,Positive
great stability bad ambitions,Positive
great environment many opportunities develop ones self,Positive
aws solutions architect,Neutral
high impact work muddled many chefs,Positive
technical specialist,Neutral
great company overall prepared politics egos,Positive
great place,Positive
busiest rewarding time career,Positive
area manager,Neutral
good stressful experience,Negative
great resume builder next role,Positive
micromanaged robots,Neutral
pay rate justification staying,Neutral
great place work,Positive
great starting pad competitive people,Positive
microsoft global services private ltd pitfalls,Neutral
growing pains,Neutral
great company especially prefer lifework balance,Positive
family room specialist,Neutral
big company,Neutral
amazon warehouse associate review,Neutral
young adult wonderland w golden children,Positive
great definitely everyone,Positive
good company competitive compensation,Positive
life building msr,Neutral
good company people mind set politics get good reviews,Positive
good place work,Positive
expected better,Positive
like big company,Positive
hr specialist,Neutral
high stress low pay applecare home advisor,Negative
good experience,Positive
big noise nothing,Neutral
excellent first job mileage varies beyond,Positive
dont stay long,Neutral
ios app review,Neutral
interactive designer,Neutral
year career microsoft left years ago life much better outside microsoft,Positive
projectprogram manager,Neutral
like conflict great company,Positive
great company afraid take risks,Positive
garbage beyond ones imagining,Neutral
great place work youll get deserve,Positive
employees may act happy facing customer theyre actually miserable,Neutral
best retail existence still retail,Positive
work,Neutral
naja,Neutral
good,Positive
specialist,Neutral
good bad,Neutral
cushy dead end,Positive
ok,Positive
treated dignity humanity respect,Neutral
great company small minds middle management,Positive
microsoft advanced technology lab cairo worset place start career,Positive
travail intressant mais manque de reconnaissance,Neutral
great place engineer,Positive
nice place get good experience dont stay long,Positive
overall great place work,Positive
moving fast maybe little fast,Neutral
size grown politics know matters know,Neutral
good experience hard see path,Positive
make,Neutral
good worklife balance great coworkers uninspiring tech culture org,Positive
lonely stressed overworked competitive environment,Negative
fast paced work environment great benefits,Positive
bad comfort get used,Negative
intense dysfunctional yet satisfying,Positive
msfting msfting,Neutral
burn churn,Neutral
great place work,Positive
software engineer review,Neutral
great company work,Positive
great place work,Positive
stop hiring upper management outside,Neutral
ready ride life,Positive
senior software development engineer,Neutral
feels like working political campaign,Positive
great company better office,Positive
handsdown best company work,Positive
great,Positive
hard work rewarding,Neutral
burnout turnover expected,Negative
living time capsule,Neutral
great place work cons,Positive
tough place work,Negative
great work culture less growth opportunity,Positive
cool internship,Positive
scared steady political,Neutral
old gold,Neutral
joy come work everyday,Positive
apple genius,Neutral
stop middle manager,Neutral
pros outweigh cons satisfied overall,Positive
okay,Positive
hub manager great pay zero job security training stability,Positive
great place gain varied experience,Positive
competitive compesation different salaries man women,Neutral
easy hard time,Neutral
good company bad management,Neutral
guter arbeitgeber,Neutral
guter arbeitgeber,Neutral
one best places work,Positive
could lot better amazon cared,Positive
think corporate european head office perspective,Neutral
bittersweet,Neutral
amazon pretty great,Positive
old farts take amazon,Neutral
getting better,Positive
want bleeding edge technology smartest humans ever come apple core engineering team,Neutral
awesome place,Positive
got moments,Neutral
defensive unsupportive work climate,Positive
employees treated like paper towel good one use throw away,Positive
land opportunities require personal sacrifices,Neutral
great resume builder,Positive
good place work day part time,Positive
premier field engineer microsoft,Neutral
aws smart people strong culture endless opportunities,Positive
challenging work live values,Positive
awesome opportunity,Positive
company many talents managers,Positive
bad far ideal,Neutral
great benefits room grow,Positive
becoming pathetic company amazon seller support banglore,Negative
challenging favoritism great learning opportunity,Positive
great experience,Positive
like ambiguity ever changing environment place,Positive
much recreation options,Positive
number one priority management recruiting huh,Neutral
amazon,Neutral
life amazon fulfillment canada,Neutral
company simply big provide necessary individual attention career progression,Neutral
worst grade company,Negative
friendly people interesting work worklife balance,Positive
extremely fulfilling life changing experience plenty costs,Neutral
high rotation,Positive
abusive,Neutral
working hard fun,Neutral
working hard fun,Neutral
engineering manager,Neutral
really depends team land,Positive
best company work,Positive
awesome place work,Positive
fulfillment associate ie warehouse worker,Neutral
best place data science,Positive
let go reorganization,Neutral
lots opportunities,Neutral
great company rise,Positive
apple store,Neutral
good fresh college hires good midlevel hires,Positive
good fresh college hires good midlevel hires,Positive
excellent company great experiences,Positive
icqa,Neutral
working tech companies amazon far best,Positive
great place fresh grads,Positive
beware joining cs amazon,Neutral
redzone specialist part time,Neutral
like company,Positive
tough stimulating environment,Negative
quality assurance engineer ii,Neutral
everything controlled,Neutral
worst management good newbies seasoned professionals favored,Negative
amazon uk,Neutral
pay isnt worth stress,Negative
work used standing hours,Neutral
best company yet,Positive
historically rewarding organization work continues,Positive
specialist,Neutral
generally satisfied amazonian herebut speak team,Positive
unnecessarily complicated,Negative
sde,Neutral
rarely dull moment,Negative
disappointing say least,Negative
order support specialist,Neutral
depends team,Neutral
interesting highly competitive job environment,Positive
excellent company start career asking raise bar constantly,Positive
excellent company start career asking raise bar constantly,Positive
fantastic hard work fun seattle ruthlessly taxing india,Positive
company satya heading right direction,Positive
aws uk,Neutral
good job oncall gets old quick,Positive
good career opportunities rarely lifetime career,Positive
avoid cost workaholic,Neutral
stay far away sdes,Neutral
careful join,Neutral
software development manager,Neutral
fulfilment associate,Neutral
senior catalogue associate,Neutral
powerful company lots opportunities make difference,Positive
small msft office lack opportunities,Negative
great place work,Positive
great benefits mileage may vary depending team,Positive
manager merchant services,Neutral
potential lost confusion,Neutral
great opportunities growth exciting innovation plenty room move within company,Positive
required review,Neutral
good company good people,Positive
job yes career,Neutral
stay away hwte costs,Neutral
depends team manager,Neutral
facebok tldr,Neutral
phenomenal place work,Positive
run hou never look back,Neutral
challenging rewarding negiotiate well seattle traffic bad,Neutral
love,Positive
great corporate benefits call center position like anywhere else,Positive
best kept secret within amazon,Positive
best kept secret within amazon,Positive
company exceeded expectations every way except social aspect,Neutral
excellent place work,Positive
manager team make break job,Neutral
exciting place young professionals build career,Positive
software engineer,Neutral
repetitive,Negative
high quality work fast paced,Positive
principal sde,Neutral
great health care,Positive
great company bad perf review model,Positive
overall positive environment super talented yet downtoearth colleagues id ever seen,Positive
google different company great opportunity homework ask hard questions,Positive
challenge,Neutral
aware orgsvp group work,Positive
political terrible,Negative
generous benefits,Neutral
years across different divisions windows live bing servers tools business,Neutral
fantastic career growth experience,Positive
enjoy working amazon,Positive
hope like meetings,Positive
job,Neutral
poor experience,Negative
work bones appreciationstay away,Neutral
lot reporting poor management great package,Positive
lot reporting poor management great package,Positive
want well expect sweatshop experience sweatshop rewards,Neutral
let poor quality midlevel mangers,Negative
get ride,Neutral
life trms,Neutral
amazon company level review,Neutral
fantastic retail opportunity product zone specialist,Positive
great environment times little room growth,Positive
great employer great perks,Positive
great like drink koolaid,Positive
want selfesteem degraded come work,Neutral
amazon fantastic encourages destructive workaholic culture,Positive
product zone specialist great team benefits get veeerrryyyy boring,Positive
great retail retail,Positive
suggest working opportunity,Neutral
definitely meritocracy,Neutral
steadily going downhill,Positive
amazon picker,Neutral
great brand,Positive
place phenomenal opportunity,Positive
program manager,Neutral
want progress need redmond,Neutral
sales office deviates core google culture,Neutral
good part time job frustrations,Positive
sunny chance lowballs,Neutral
sr program manager,Neutral
great place work makes say,Positive
best company work,Positive
great benefits uninspiring work really confused management,Positive
nice journey prague,Positive
pick stow associate,Neutral
pm,Neutral
apple retail entirely separate entity,Neutral
excellant people fun atmosphere,Positive
amazing training,Positive
apple great school customer service alot ambitions prepared little politics,Positive
great company great products even better people,Positive
ok,Positive
amazing company work even know politics,Positive
comment,Neutral
mixed bag,Neutral
great place work trending downwards,Positive
senior development lead,Neutral
great place depending team,Positive
fascinating company getting larger every day,Positive
one bets corporations work romania,Neutral
vendor manager,Neutral
fun company work managers cool,Positive
apple inc,Neutral
review,Neutral
hard work valuable learning experience,Negative
good company evolving culture negatives mostly memorable stay,Positive
random,Negative
applecare college advisor,Neutral
retail retail place great even though retail,Positive
two years specialist apple retail,Neutral
mixed,Neutral
sexy outside different experience inside,Positive
brand specialist perfect position learn manage business,Positive
startup feeling big impact opportunities,Neutral
young structured improving,Neutral
talk innovation continue old practices,Neutral
avoid possible detention camp,Neutral
great place work likeminded unique individuals learn apple values,Positive
good place learn,Positive
smartest people ive worked fantastic benefits becoming political,Positive
specialist,Neutral
big chaotic monolithic engine,Neutral
sr product manager,Neutral
love culture,Positive
good learning opportunities aligned non family orientated people,Positive
great people awesome culture,Positive
stop shop career,Neutral
transaction risk investigator,Neutral
awesome,Positive
senior software engineer,Neutral
customer specialist,Neutral
perks dont justify slowmoving bureaucracy especially hr,Neutral
amazing place everything moves extremely fast,Positive
wouldnt wish worst enemy aws rds,Negative
best job ever,Positive
place learn grow work stuff everyone uses,Neutral
great freedom,Positive
proud work,Positive
software development engineer ii,Neutral
dissappointing,Neutral
amazing company wicked smart people,Positive
fun tough,Neutral
fast paced lots old stuff,Positive
great company work depending team end,Positive
fun fast pace work environment,Positive
great company terms culture worklife balance,Positive
amazing company great benefits lots responsibility day,Positive
awesome place work,Positive
best working experience personally,Positive
great place work,Positive
great company,Positive
sde ii,Neutral
exciting challenging work fun supportive atmosphere,Positive
associate consultant charlotte nc,Neutral
great place learn,Positive
success dependent ones direct manager,Positive
youll meet smart people learn lot dont expect work best humanity,Positive
eagerly awaiting postballmer era,Neutral
great employees work management awful,Negative
still great company,Positive
corporate job runs like start,Positive
renewed companywork progress,Neutral
opportunities every direction,Neutral
management making effort keep people happy,Positive
great company horrible middle mgmt,Negative
simply amazing,Positive
hard work rewarding,Neutral
great company learnt ton working microsoft,Positive
high impact learning,Positive
gregoo,Neutral
dont bother,Neutral
fun forgiving challenging,Positive
varies team experience great,Positive
great job part,Positive
senior software engineer,Neutral
une superbe exprience dans un cadre stimulant,Neutral
case study difficult extend culture large companies,Neutral
alright pay terrible management,Negative
terrible,Negative
hard slog start wrong group youre big trouble,Negative
work amazon terrible work environment terrible operation managers sitting allowed,Negative
sde,Neutral
smartest underpaid individuals ive ever worked,Neutral
financial safety exchange strange backroom politics unrealistic senior expectations tiny bonuses,Neutral
recruitings rejects,Neutral
great employer,Positive
great place work right team,Positive
software engineer,Neutral
senior software engineer,Neutral
biggest con great working never want leave,Positive
great company right people,Positive
aws seems operate little differently consumer side,Neutral
burnout,Negative
really interesting promising environment work,Positive
hiring new people indefinitely answer,Neutral
culture fear real tone deaf culture ignores voices doesnt sound like echo chamber,Positive
apple still retail,Neutral
mixed range skillset experience intelligence,Neutral
brand specialist weak average individual,Negative
worst places worked employers total,Negative
working amazon,Neutral
make sure know youre getting,Positive
mixed review,Neutral
nicest big corporation still big corporation,Neutral
definitely different,Neutral
good career prospects,Positive
love place,Positive
poor company vendor rapport marcom,Negative
interesting problems poor management,Neutral
mixed bag,Neutral
place juniormid level engineers,Neutral
nice team lot work fun opportunities evaluation process improved,Positive
great place work hard navigate career growth internal politics,Positive
retail business still figuring,Neutral
new business sales team,Neutral
rush growth tech debt,Neutral
software engineer,Neutral
great youre lucky work ms terrible ms lucky,Positive
disappearing,Neutral
best company ive ever worked,Positive
software engineering intern,Neutral
learn,Neutral
learn,Neutral
engineers place joke,Neutral
good employer necessarily best international recruits,Positive
software engineering internship review,Neutral
feels like home job,Positive
great company issues,Positive
good compensation decent teammate,Positive
internship experience dreams,Neutral
learn dont sad letting go,Negative
almost perfect employer work matches skills,Positive
challenging job far good way,Positive
area manager,Neutral
great experience,Positive
sword damocles,Neutral
good first job,Positive
great place develop,Positive
good benifits much room growth silicon valley campus,Positive
meaningful work great worklife balance,Positive
pretty good,Positive
legal trainee,Positive
forward thinking company great opportunites,Positive
,Neutral
spectacular ride,Positive
customer service support,Neutral
great place work,Positive
focused driven company great rewards,Positive
good work environment good pay great perks,Positive
stay away microserf brainfarm,Neutral
awesome company,Positive
build learn huge scale support,Positive
life hand stow,Neutral
order picker amazon aka slave laborer shakopee mn,Neutral
decent gotta really,Positive
operations engineer facebook,Neutral
sde ii,Neutral
hard move retail,Negative
great team great system,Positive
excellent experience poorly managed,Positive
great company long term,Positive
great place work great benefits future company,Positive
bitter sweet,Neutral
wonderful smart hardworkers,Positive
easily best company ever worked,Positive
like brand name,Positive
longer good company work bill gates left,Positive
nothing like advertised,Positive
great company aging,Positive
old school potential,Neutral
good expected still great company nonetheless,Positive
senior program manager,Neutral
great place,Positive
good place start career,Positive
maximum politics minimum capability,Neutral
company genuinely cares,Positive
specialist,Neutral
rewarding first year intolerable two years due meager pay metrics bad management awful worklife balance,Negative
good company,Positive
terrible work life balance poor rewards zero stocks zero bonus exceedsstrong ratings,Negative
good,Positive
great company,Positive
bss,Neutral
amazing experience amazon,Positive
amazing place work collective caliber excellence longer,Positive
great place work,Positive
much better reputation,Positive
great opportunities benefits toxic culture,Negative
good place work grow,Positive
best employer ive ever,Positive
fast paced environment lots opportunity truly work,Positive
du bon et du moins bon,Neutral
university recruiting,Neutral
beat fading amazon music,Neutral
definitely everyone,Neutral
great looks better,Positive
used great company,Positive
writer,Neutral
many great teams,Positive
amazing learning experience tough culture crack,Positive
company walks talk need understand politics behind,Negative
warehouse review tracy ca associate tier,Neutral
decent position someone little work experience,Neutral
feels like many different companies within one huge company,Positive
good depending l,Positive
great engineers lots ownership control projects constantly shifting upper management priorities,Positive
worklife balance schedules,Neutral
scanner,Neutral
tough place amazing people,Positive
perks incredible even google cons,Positive
area manager,Neutral
amazon warehouse employee,Neutral
manager global marketing solutions,Neutral
nd job college great experience,Positive
good experience inconsistent culture store store,Positive
great experience,Positive
competitive political atmosphere,Neutral
perfect place workaholic,Positive
bright future,Positive
drank apple juice long hired,Neutral
initially exciting mundane,Neutral
great innovation understaffedoverworkedno worklife balance easy burnout,Negative
doubleedged sword,Neutral
technical specialist,Neutral
great company great people toxic teams,Negative
work life balance growth,Neutral
amazon chennai sde poor work life balance poor management,Negative
terrible avoid,Negative
great company family friendly,Positive
leave without time energy activities outside work,Neutral
good job great benefits,Positive
pretty good job,Positive
,Neutral
operations engineer,Neutral
microsoft tragedy fall good preeminently good company flawed leadership,Positive
hard driving culture need reboot,Negative
specialist,Neutral
absolute roller coaster,Positive
nice projects aws,Positive
challenging fun place work,Positive
great benefits hard move beyond answering phones,Positive
great company work,Positive
apple aha advisor tier review,Neutral
perfect,Positive
land opportunities great perks amazing package zero work life balance,Positive
decent pay decent work,Positive
good people twisted performance review process old new,Neutral
challenging interesting compensated well,Positive
great opportunity growth long hours hard work life balence,Positive
work hard make history,Negative
good company nice perks lots work,Positive
bug fixing job salary great,Positive
review ecox team,Neutral
tough place work great place learn,Positive
depends team,Neutral
best job ever,Positive
great company life,Positive
customercentric expense employeecentric,Neutral
excellent place,Positive
excellent place,Positive
good benefits leaning curve,Positive
mostly good company work,Positive
amazon hq shines even weather luxembourg doesnt,Neutral
incredible growth opportunity downsides,Positive
different great company,Positive
fun ride lots opportunities soar,Positive
satisfied,Positive
disappointing,Negative
burnout company unlimited development opportunities,Negative
amazing experience great products fast faced high pressure rewarding,Positive
interesting work great learning experience terrible worklife balance,Positive
great pay loads loads work,Positive
great designer artist creative person place,Positive
drink koolaid apple,Neutral
apple amazing,Positive
great people much bureaucracy,Positive
trending towards bureaucracy,Neutral
great place like,Positive
heaven engineer,Neutral
great environment passionate people ed,Positive
despite bad pr ms remains one top tech company,Neutral
fast paced fantastic opportunities,Positive
great place learn terrible worklife balance,Positive
awesome ride,Positive
great place start career,Positive
stay away,Neutral
left awesome friends let management,Positive
excellent place work,Positive
fantastic place work fainthearted,Positive
called wants cokecovered pager back,Neutral
worked years,Neutral
great place diversified experience,Positive
dco tech iii,Neutral
amazing amazing company work,Positive
great company good benefits smart people become complacent,Positive
great place build career,Positive
best company ive worked year career,Positive
dynamic disorganized respectful environment,Positive
great place work however limited growth,Positive
great place work,Positive
great people political nightmare wrt management,Positive
great opportunity like stuck phone,Positive
marketing apprentice,Neutral
great company work,Positive
great company work,Positive
amazon great place work,Positive
great company awesome management engineering,Positive
ok pay terrible politcs,Negative
little kids need apply,Negative
great gain experience disgustingly underpaid,Positive
one enjoyable places work,Positive
want worklife balance may ok really advance need sacrifice things,Positive
cloud support associateengineer,Neutral
everything depends team,Neutral
dark truths amazon funny,Neutral
slave rates,Neutral
recruiting,Neutral
employee friendly open culture,Positive
stay away bing ads group,Neutral
work microsoft guess somebody,Neutral
easy come easy go,Positive
review title,Neutral
amazon good bad,Neutral
lot depends managers get,Neutral
dont accept position level expect get promoted quickly,Positive
amazing people horrible others,Negative
dont wood brand,Neutral
unappreciated overworked,Neutral
applecare advisor,Neutral
tealswan,Neutral
used great,Positive
wonderful place launch career marketing,Positive
extroverts shall inherit earth,Neutral
wearhouse,Neutral
former employee,Neutral
financial analyst,Neutral
great join dream company,Positive
good people bad management,Neutral
fulfilling,Neutral
brutally fastpaced also full amazing opportunities,Positive
program manager,Neutral
great place work youre right team,Positive
founders great still active,Positive
nice place work,Positive
good company,Positive
disorganized understaffed politics products hardware division,Neutral
misleading job descriptions,Neutral
fun stress,Negative
faceless banking corporation,Neutral
life times orchard,Neutral
great opportunity growth drink koolaid,Positive
hail amazon logo says smile,Positive
socially culturally difficult,Negative
perhaps ray hope,Neutral
amazing staff management ambiguous rules,Positive
